li_0grow_tmp,li_123_tmp,li_1grow_tmp,li_1up_tmp,li_2grow_tmp,li_2up_tmp,li_3grow_tmp,li_3up_tmp,li_4grow_tmp,li_4up_tmp,li_5grow_tmp,li_5up_tmp
0.017093981,0.056372586,-0.018947404,-0.002100805,0.027272727,-0.016452039,0.010131332,-0.056637168,0.007885881,-0.010772697,0.033255126,-0.047690052
0.096676737,-0.041322314,0,-0.022038567,0.06969697,-0.070422535,0.021875,-0.093484419,0.006309148,-0.03058104,0.036065574,-0.043887147
0.045833333,0.05312085,-0.059760956,0,0.058823529,0.008474576,0.049327354,-0.115079365,0.090909091,-0.153846154,0.005128205,-0.097222222
0,0.051094891,-0.028776978,0.01459854,0.022058824,0.007407407,0.030769231,-0.064748201,0.056910569,-0.082089552,0.008264463,-0.069230769
0,0.009389671,-0.027972028,0.007042254,0.007092199,0.014388489,0,-0.014084507,0.022058824,-0.028571429,0.007407407,-0.028776978
0.020689655,-0.024774775,-0.013513514,0,0.053571429,-0.04109589,0.00729927,-0.071186441,0,-0.014492754,0.000724638,0.014705882
0.059210526,-0.097308489,-0.006535948,-0.049689441,0.006622517,-0.006578947,0.040816327,-0.032894737,0.064748201,-0.091503268,0.02238806,-0.094594595
0.006535948,-0.023809524,0,-0.012987013,0,0,0,-0.013157895,0,0,0.006849315,-0.026666667
0,-0.015873016,-0.004761905,0,0.024096386,-0.007177033,0.012195122,-0.035294118,0,-0.012048193,0,0
0.04,0.003944773,-0.015151515,-0.023668639,0.015384615,0,0.048387097,-0.060606061,0.003236246,-0.049230769,0.009836066,-0.016129032
0,-0.118721461,-0.026666667,0.02739726,0.04109589,0,0,-0.039473684,0.042857143,-0.04109589,0.014705882,-0.068493151
0,-0.018333333,0,0,0.0075,0,0.0125,-0.007444169,0.012658228,-0.024691358,0.012658228,-0.0125
0.011764706,0.015503876,-0.004651163,0,0.043902439,-0.042056075,0.012345679,-0.053738318,0.012345679,-0.012195122,0,0
0,-0.045578231,-0.014285714,0,0.010309278,0.004140787,0.020833333,-0.020408163,0,-0.020408163,0.021276596,-0.020833333
0,-0.044176707,-0.046511628,0.036144578,0.037037037,-0.012195122,0.012658228,-0.05952381,0,-0.025,0.054794521,-0.064102564
0,-0.057613169,0,0.012345679,0.025316456,-0.036585366,0.025974026,-0.049382716,0.012987013,-0.025316456,0.013333333,-0.038461538
0,-0.029100529,-0.007874016,0.007936508,0.032520325,-0.023809524,0.016528926,-0.047244094,0.008264463,-0.016260163,0,-0.008196721
0.028571429,-0.035714286,0,-0.015873016,0.037974684,-0.044354839,0.008510638,-0.044715447,0.021551724,-0.021097046,0.017391304,-0.029535865
0.00997009,0.003290556,-0.002970297,-0.0029615,0.006036217,-0.012909633,0.01552795,-0.034,0.005202914,-0.02038736,0.007360673,-0.01552795
0.001106195,-0.006998158,-0.001090513,0.013259669,0.071512309,-0.068777293,0.022274326,-0.066739606,0.01183432,-0.030963303,0.016686532,-0.01871345
