,li_0grow_tmp,li_123_tmp,li_1grow_tmp,li_1up_tmp,li_2grow_tmp,li_2up_tmp,li_3grow_tmp,li_3up_tmp,li_4grow_tmp,li_4up_tmp,li_5grow_tmp,li_5up_tmp
132,0.01047619,0.130065975,-0.008450704,0.003770028,0.024390244,-0.029356061,0.019900498,-0.042857143,0.01123,-0.024390244,0.23076923100000002,-0.228662124
133,0.007678925,0.129384555,-0.039057259,0.028749524,0.036434338999999996,-0.009460344,0.014641288,-0.06757675099999999,0.008521741999999999,-0.02633484,0.009448224,-0.027920667000000003
134,0.031358885,0.12837837800000002,-0.010344828,-0.02027027,0.145283019,-0.076655052,0.037254902,-0.159802306,0.011881188,-0.04536862,0.253071253,-0.203522505
136,0.028901734,0.127340824,-0.011494253000000001,-0.02247191,0.023809524,-0.023255814,0.006060606,-0.040697673999999996,0.058064516,-0.06626506,0.006493506,-0.06097561
140,0.166568925,0.12485343300000001,-0.053958947,-0.142785326,0.014440432,0.030378303,0.019704372,-0.036773485,0.017500063,-0.033816367,0.056878307,-0.071253128
143,0.033371692,0.123979213,-0.0068571430000000004,-0.025612472,0.046539379000000006,-0.035673188,0.028290283,-0.072976055,0.0125,-0.043062200999999994,0.060927152000000005,-0.067901235
145,0.046296295999999994,0.12241887900000001,-0.072340426,0.039823009,0.14354067,-0.041284404,0.115263158,-0.20502092100000002,0.005347594000000001,-0.117508259,0.027322403999999998,-0.026595745
148,0.06630736200000001,0.12057632800000001,-0.09776267300000001,0.03943372,0.015942482,-0.13773580300000002,0.037254902,-0.058461538,0.045187961,-0.08664146199999999,0.0736,-0.174917465
149,0.048442907,0.119911991,-0.041186161,0.001650165,0.098540146,-0.058419244,0.094949495,-0.177740864,0.046908316,-0.13468634699999998,0.015521064,-0.081466395
150,0.076923129,0.119047634,-0.046511628,-0.040178571,0.091370503,-0.039024341000000004,0.109859211,-0.174418605,0.059880235999999996,-0.152284256,0.037036911,-0.084745758
