li_0grow_tmp,li_123_tmp,li_1grow_tmp,li_1up_tmp,li_2grow_tmp,li_2up_tmp,li_3grow_tmp,li_3up_tmp,li_4grow_tmp,li_4up_tmp,li_5grow_tmp,li_5up_tmp
0,0.156862745,0,0,0,0,0,0,0,0,0,0.029411765
0.362707535,0.15651359,-0.001858736,-0.495782568,0.040697674,-0.039106145,0.023952096,-0.067039106,0.25,-0.220272904,0.043589744,-0.22
0.027310924,0.15473756,-0.047904192,0.024539877,0.112359551,-0.067085954,0,-0.111111111,0.039506173,-0.079545455,0.007425743,-0.040380048
0.026530612,0.154406892,-0.00203666,-0.023856859,0.018672199,-0.016326531,0.043478261,-0.063136456,0.048611111,-0.1,0.051094891,-0.092715232
0,0.153846154,0,0,0,0,0,0,0,0,0,0
0.041269841,0.153455285,-0.003205128,-0.048780488,0.036789298,-0.038585209,0.034722222,-0.070967742,0.054347826,-0.073825503,0.032846715,-0.058419244
0.004081633,0.149051491,-0.004098361,-0.008130081,0.016736402,-0.016460905,0.030434783,-0.053497942,0.004366812,-0.033755274,0.031531532,-0.034782609
0,0.148148148,0,-0.018518519,0.04,-0.056603774,0,-0.076923077,0,0,0,0
0,0.148148148,0,0,0,0,0,0,0,0,0,0
0.023858921,0.147922999,0,-0.021276596,0.045503792,-0.044513458,0.008743169,-0.051813472,0.022371365,-0.031419285,0.004479283,-0.02297593
0.00616157,0.146669676,0,-0.013381719,0.016511605,-0.011494253,0.013602299,-0.024479525,0.014786525,-0.029847315,0.009567041,-0.017391258
0.046961326,0.142480211,-0.004172462,-0.051451187,0.046314818,-0.092318436,0.066115702,-0.110294118,0.063268893,-0.117829457,0.070342205,-0.130578512
0.002212445,0.14174016,-0.021650852,0.019591583,0.041466769,-0.019363789,0.014080518,-0.057421428,0.000577396,-0.018418872,0.012338366,-0.017888027
0.007312645,0.14105661,-0.064487426,0.01784637,0.113689029,-0.041613723,0.021219231,-0.116368965,0.032190343,-0.057387863,0.035979267,-0.086101729
0.035196687,0.140666667,-0.035785288,0.006,0.10989011,-0.06185567,0.013274336,-0.104950495,0.004444444,-0.017467249,0.12,-0.115044248
0.008810544,0.140223259,-0.015965137,0.002911296,0.03293407,-0.014749262,0.032659376,-0.068115884,0.054098426,-0.081325329,0.004629537,0.007776049
0,0.14,0,0.02,0.041666667,-0.058823529,0.020833333,-0.04,0.03950104,-0.018367347,0.018711019,-0.038
0.046153846,0.138235294,-0.075842697,0.047058824,0.111111111,-0.042553191,0.034883721,-0.14,0.022108844,-0.056179775,0.10701107,-0.098169717
0.053763441,0.137188209,-0.003610108,-0.057823129,0.02189781,-0.007246377,0.003663004,-0.025,0.003676471,-0.00729927,0,-0.007326007
0,0.133333333,0,0,0,0,0,0,0,0,0,0
0,0.133333333,0,0,0,0,0,0,0,0,0,0
0,0.133333333,0,0,0,0,0,0,0,0,0,0
0,0.133333333,0,0.133333333,0,0,0,0,0,0,0,0
0,0.133333333,0,0,0,0,0,0,0,0,0,-0.066666667
0.089285714,0.131147541,-0.01754386,-0.06557377,0,0,0.1,-0.107142857,0,-0.109090909,0,0.020408163
0.01031997,0.130234951,-0.001029866,-0.008171604,0.011714536,-0.031958711,0.012319229,-0.017368421,0.007053663,-0.024867725,0.031372549,-0.038254259
0.01047619,0.130065975,-0.008450704,0.003770028,0.024390244,-0.029356061,0.019900498,-0.042857143,0.01123,-0.024390244,0.230769231,-0.228662124
0.007678925,0.129384555,-0.039057259,0.028749524,0.036434339,-0.009460344,0.014641288,-0.067576751,0.008521742,-0.02633484,0.009448224,-0.027920667
0.031358885,0.128378378,-0.010344828,-0.02027027,0.145283019,-0.076655052,0.037254902,-0.159802306,0.011881188,-0.04536862,0.253071253,-0.203522505
0.012987013,0.128205128,0,-0.015384615,0,-0.0625,0.014084507,-0.013888889,0,-0.013888889,0.076923077,-0.084507042
0.028901734,0.127340824,-0.011494253,-0.02247191,0.023809524,-0.023255814,0.006060606,-0.040697674,0.058064516,-0.06626506,0.006493506,-0.06097561
0,0.127071823,0,0,0,0,0,0,0,0,0,0
0.002178649,0.125362319,-0.047717842,0.047826087,0.043668122,-0.002178649,0.002207506,-0.052301255,0,-0.015418502,0.069544365,-0.067114094
0,0.125,0,0,0,0,0,0,0,0,0,0
0.166568925,0.124853433,-0.053958947,-0.142785326,0.014440432,0.030378303,0.019704372,-0.036773485,0.017500063,-0.033816367,0.056878307,-0.071253128
0.045238095,0.124525437,-0.002380952,-0.043280182,0,-0.016706444,0.014814815,-0.016990291,0.009975062,-0.0243309,0.169590643,-0.155555556
0,0.124324324,0,0,0,0,0,0,0,0,0,0
0.033371692,0.123979213,-0.006857143,-0.025612472,0.046539379,-0.035673188,0.028290283,-0.072976055,0.0125,-0.043062201,0.060927152,-0.067901235
0.02247191,0.122710623,0,-0.010989011,0.017142857,-0.027777778,0.053254438,-0.050561798,0.077922078,-0.134831461,0.026845638,-0.102409639
0.046296296,0.122418879,-0.072340426,0.039823009,0.14354067,-0.041284404,0.115263158,-0.205020921,0.005347594,-0.117508259,0.027322404,-0.026595745
0.027558997,0.121875607,0,-0.026819869,0.003389774,-0.004499437,0.015446224,-0.015765766,0.014827994,-0.050140789,0.007117378,-0.014611338
0.00621118,0.121399177,-0.01242236,-0.00617284,0.006289308,0,0.035947712,-0.04375,0.033333333,-0.05362776,0,0.193548387
0.066307362,0.120576328,-0.097762673,0.03943372,0.015942482,-0.137735803,0.037254902,-0.058461538,0.045187961,-0.086641462,0.0736,-0.174917465
0.048442907,0.119911991,-0.041186161,0.001650165,0.098540146,-0.058419244,0.094949495,-0.177740864,0.046908316,-0.134686347,0.015521064,-0.081466395
0.076923129,0.119047634,-0.046511628,-0.040178571,0.091370503,-0.039024341,0.109859211,-0.174418605,0.059880236,-0.152284256,0.037036911,-0.084745758
0,0.119047619,0,0,0,0,0,0,0,0,0,0
0.000119799,0.119002016,-0.001552669,0.002754527,0.023561247,-0.025239235,0.006205013,-0.033928808,0.026738681,-0.040577219,0.005950058,-0.032052146
0.011904762,0.117647059,-0.023809524,-0.011764706,0.0375,-0.024390244,0,-0.036144578,0.038961039,-0.0375,0.012987013,-0.0375
0.048929664,0.115646259,-0.003012048,-0.032069971,0.0375,-0.033232628,0.04494382,-0.195783133,0.072,-0.103942652,0.008163265,-0.085820896
0.166051661,0.114275668,0,-0.889240506,0,0,0,0,0,0,0,0
0.030302987,0.113445397,-0.002183406,-0.037815086,0.031674163,-0.032822757,0.002277859,-0.037280616,0,-0.002272682,0.039150942,-0.034168563
0.020833333,0.11292517,-0.004149378,-0.016326531,0.008403361,-0.008333333,0.008474576,-0.016666667,0.015151515,-0.029411765,0.017621145,-0.031982942
0.023489933,0.112568306,-0.003311258,-0.009836066,0.077464789,-0.056478405,0.014705882,-0.111111111,0.011029412,-0.014492754,0.011152416,-0.021818182
0.008395522,0.112241751,-0.007407407,-0.000925069,0.015992474,-0.008395522,0.00095511,-0.030555556,0.00192864,-0.010496183,0.011707317,-0.013474495
0.005914972,0.111968655,-0.028849621,0.019110659,0.028774327,-0.006312662,0.003394945,-0.037050525,0.020881631,-0.027819511,0.008123752,-0.020833333
0.013422819,0.111258278,-0.006622517,0,0.02739726,-0.026666667,0.057971014,-0.08,0.02173913,-0.054794521,0.01459854,-0.028368794
0,0.111111111,-0.020833333,0,0,0.021276596,0.020833333,0,0.021276596,-0.040816327,0,-0.020833333
0,0.111111111,0,0,0,0,0,0,0,0,0,0.066666667
0.024543374,0.110575683,-0.033105769,0.008466923,0.020021524,-0.012707413,0.085361185,-0.092534241,0.071842452,-0.078647722,0.031474064,-0.095495495
0.003521168,0.110285502,-0.001650547,0.000412797,0.037915718,-0.024385204,0.033406593,-0.071428571,0.006828127,-0.034453382,0.023486925,-0.031284184
