li_0grow_tmp,li_123_tmp,li_1grow_tmp,li_1up_tmp,li_2grow_tmp,li_2up_tmp,li_3grow_tmp,li_3up_tmp,li_4grow_tmp,li_4up_tmp,li_5grow_tmp,li_5up_tmp
-0.002680965,-0.017921147,0.01344086,0,-0.00265252,0,-0.015625,0.021276596,-0.012987013,0.018518519,-0.020304569,0.036842105
-0.051376147,-0.036750484,0.050290135,0,-0.075675676,0.022099448,-0.017825312,0.093567251,-0.008787346,0.032667877,-0.0237691,0.044326241
0,0.103403141,0.013333333,-0.018324607,-0.037419355,0.019736842,-0.022613065,0.067024129,-0.077906977,0.105398458,-0.050273224,0.153846154
-0.002684564,0.109466128,0.001331558,0.01076716,-0.019305019,0.033244681,-0.013959391,0.034120735,-0.036477987,0.023166023,-0.01754386,0.041775457
-0.045911047,0.002506266,0.034074074,0.015037594,-0.055096419,0.040114613,-0.05477707,0.144314869,-0.092360319,0.181940701,-0.072938689,0.188442211
-0.042938931,-0.024260552,0.02359882,0.013958126,-0.031924883,0.023054755,-0.07793345,0.107662464,-0.001751313,0.084520418,-0.033585223,0.044736842
-0.019480519,0.075055188,0.009803922,0.013245033,-0.006493506,-0.003236246,-0.012738854,0.026143791,-0.030864198,0.04516129,-0.046783626,0.089171975
-0.038216561,0.066225166,0.019480519,0.01986755,-0.05,0.01910828,-0.018404908,0.072368421,-0.017964072,0.04375,0,0.018292683
-0.054187192,0.013888889,0,0.036458333,-0.067961165,0.035175879,-0.055045872,0.135416667,0,0.063106796,-0.031531532,0.01369863
-0.055045872,-0.056634304,0,0.063106796,-0.031531532,0.01369863,-0.026086957,0.069767442,-0.025104603,0.066964286,-0.044176707,0.068669528
-0.0375,-0.130952381,0.098591549,-0.077922078,-0.095384615,0.041666667,0,0.119047619,-0.038011696,0.039513678,-0.085106383,0.142857143
0,-0.052136752,0,0,-0.042424242,0.057692308,-0.041666667,0.063291139,-0.023255814,0.068322981,-0.044444444,0.071428571
-0.005681818,-0.005714286,0.011363636,0.005714286,-0.022099448,0.016853933,-0.016483516,0.028248588,-0.02173913,0.027932961,-0.076923077,0.083333333
-0.012658228,0.047435897,0.0125,0.025641026,-0.012345679,0,-0.023809524,0.05,-0.050847458,0.079268293,-0.039772727,0.047619048
-0.023255814,-0.073809524,0.014150943,0.00952381,-0.018604651,0,-0.112970711,0.132701422,-0.041322314,0.141509434,-0.036734694,0.056034483
