,0,1
348,557865.74,557975.268453058
349,374410.68,376514.8016618048
350,149119.01,148390.2121805845
351,406570.78,407068.51418991294
352,373374.79,374706.88896790764
353,399432.76,398899.4583182557
354,209858.81,210862.52905027277
355,595677.0,595713.3784431965
356,223126.55,222838.81211832445
357,1607886.6,1618823.2387851942
358,2171948.59,2163845.2162484485
359,500872.24,503013.5405732794
360,233516.03,233018.36480818235
361,255737.19,253767.51870201423
362,505309.66,506943.37248294137
363,944384.95,944700.7125650629
364,826623.51,824188.7653017903
365,599937.05,600526.1858683095
366,232717.36,234538.45527699156
367,472972.73,471460.96457024023
368,498247.08,499401.7384525873
369,500053.95,502799.3655740692
370,498217.42,497845.0328589154
371,157158.49,157558.38481471065
372,766222.05,761672.3889570684
373,524627.84,522722.17831800424
374,571475.63,570513.2240371667
375,233252.97,269524.56788981636
376,292476.22,293226.47039593547
377,964161.63,966322.235026853
378,215559.38,215232.0754561113
379,306156.3,306374.4614908421
380,338520.86,340237.15089925076
381,135986.17,137688.1693686684
382,291529.06,290881.98078083404
383,567051.49,567650.5463081497
384,582750.16,582328.110081727
385,324000.51,324785.0385370627
386,357721.39,356407.46633798035
387,1005162.27,1015507.5142082964
388,1014899.33,1012352.1066493698
389,380368.97,377663.049375342
390,559298.24,563592.1608498932
391,528145.77,530331.4929673128
392,585700.66,587860.1366204233
393,249199.16,247860.0814487706
394,154408.93,155555.40896591204
395,339014.75,339968.22475736437
396,844911.56,846676.2139237877
397,653344.06,654724.6481053113
398,2194147.08,2197439.0100867944
399,485655.02,481130.1471619968
400,637825.55,639477.3536793322
401,315921.82,316338.84870957176
402,801127.03,805153.5585795023
403,449980.86,448640.11898530275
404,137802.16,137428.94224662727
405,659105.96,660681.075835251
406,194155.31,193502.7781994862
407,350232.28,350905.0343640911
408,349672.97,355187.04111024603
409,414455.9,415038.41067115444
410,555914.97,555259.6488887974
411,1120260.91,1118977.419676893
412,366062.16,365366.46202169074
413,450534.07,454572.63192675577
414,1653998.6,1658879.8259136886
415,655566.18,657495.5543323326
416,612657.41,614709.8300604448
417,465328.57,464899.9068702762
418,347286.4,347597.55370842654
419,372014.05,371485.9030011733
420,290314.1,291008.17672734417
421,240771.11,239790.20558885054
422,620284.48,621190.7838517373
423,618494.57,619833.6903358981
424,444353.12,445540.19288268633
425,328108.21,325732.9978635972
426,632907.27,630839.0912247924
427,339461.67,340988.79770396
428,189406.25,188782.33752442693
429,178511.47,177720.88696743257
430,367510.1,368714.2127307678
431,354264.28,355022.4618793966
432,280286.93,281655.75769252575
433,1131525.38,1132279.7802160135
434,594017.51,592884.9970768755
435,642492.93,646316.0226054749
436,255269.07,257683.8373878607
437,1896427.95,1882896.422908537
438,782877.58,788235.3805457577
439,750202.72,751527.890642251
440,706440.34,709184.6105840501
441,146013.9,146582.91474694017
442,814216.67,812228.2255536126
443,538252.32,540071.9985214387
444,669033.59,668143.1176601754
445,524276.43,524398.1021491486
446,263994.93,264594.1154526869
447,238943.37,240608.1968185014
448,284561.01,284160.54915841116
449,229797.9,230751.7952261315
450,148940.81,149456.76052733648
451,928904.91,931699.7291819319
452,323245.71,324483.8636623649
453,784315.63,785650.1590008669
454,188281.16,190386.63720116278
455,494634.03,494446.2923716112
456,245625.79,246177.10558462306
457,243736.64,244850.21824908286
458,202097.88,203445.06341214606
459,220104.2,219592.77178644377
460,475631.7,474085.5406030107
461,693124.8,691779.8239125967
462,462027.78,461958.34337435965
463,1884858.74,1892777.3675689353
464,759616.92,759660.4012983298
465,569135.89,566613.6011527408
466,415360.48,414421.132555093
467,280393.21,281765.1759373319
468,910853.73,910565.9154517424
469,188342.05,188574.20657477915
470,670938.85,667002.9848217414
471,992321.09,993696.0377192713
472,482386.61,487392.3573873219
473,234024.11,234270.46895217051
474,364410.74,362474.0143031305
475,688258.73,688349.449490059
476,355762.92,356127.1270711437
477,307908.32,307659.66936284397
478,405978.05,405721.0408929712
479,311440.36,309094.3126574458
480,514887.27,513145.4052118779
481,392581.81,391001.1158793404
482,523324.29,523187.03706850344
483,288181.99,288244.3237798606
484,591585.29,592516.0602066723
485,1019206.58,1012236.9792177965
486,327226.73,327041.8257328222
487,721131.4,719540.1711188658
488,393551.32,392625.6007103155
489,538512.61,537228.9488048913
490,1018082.29,1013614.0588690863
491,336051.96,336805.25194779475
492,300017.31,299944.5238416909
493,271540.84,270353.26644182915
494,409348.47,408726.92500877666
495,553800.39,554061.7633983399
496,215661.35,215238.63869719993
497,1011207.01,1009506.4876545785
498,805179.31,806758.5153953028
499,1140201.06,1136039.5231569814
500,889612.4,890777.7949315835
501,261543.03,258334.02280867554
502,1361524.92,1360406.6078030746
503,453054.97,455561.75101385213
504,565591.1,564238.6691006451
505,112266.74,115876.3220994334
506,810019.35,810804.2271805678
507,853673.4,854893.7642587947
508,961894.92,964478.8529512313
509,893139.43,896362.7397659243
510,348210.85,347756.4404127004
511,438934.37,439503.6016005693
512,281549.04,279718.19759889564
513,292340.3,291882.66868036834
514,161252.29,161567.6947623007
515,324288.84,324113.67565813154
516,439354.77,438945.38805741654
517,613046.86,611047.5079379842
518,509743.73,510427.799590872
519,324499.25,326075.90021009557
520,566830.78,564996.8846283531
521,345135.91,345818.8381522571
522,423835.17,422031.55844563036
523,520298.51,523580.64592093055
524,586980.41,583642.5165629812
525,1071655.09,1073330.6827393728
526,792043.99,789539.0409006103
527,322258.16,323280.52431152615
528,537071.15,536927.8851086195
529,585792.26,583470.4554725621
530,650968.01,642355.3796128471
531,560923.71,559055.9076319527
532,485610.9,486237.7584267731
533,386792.07,387533.7274337328
534,1214760.0,1213926.8785582073
535,689847.78,687567.786280442
536,533061.5,534657.3220363207
537,403260.3,403880.74144211237
538,650241.44,651801.9209462361
539,382446.19,381973.5128740841
540,654704.46,652289.6120966353
541,575448.38,575556.4259699361
542,474138.66,473770.9001858339
543,1167263.48,1161728.5263483468
544,470285.99,470095.989506491
545,889628.42,886365.0219923417
546,169849.5,168981.98404136064
547,575301.69,575273.2174473787
548,165336.13,165783.25574823015
549,381733.1,382251.56237935775
550,809897.42,811542.1878844971
551,325328.31,326544.32644305454
552,269263.7,268978.33964753465
553,702829.87,703329.2792723408
554,324600.96,324182.4569019091
555,768701.74,771122.0814449063
