,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
2012,300140,2.46,9.58,9.35,9.73,9.03,9.35,5830030.0,2.37566,54546065.0,43.545,2.542,330658.208348,235099.68087
2013,300139,-1.132,9.61,9.41,9.98,9.0,9.72,56018528.0,26.39211,535075414.0,-13.928,2.47,263314.0,203976.860878
2014,300138,3.498,12.13,11.92,12.22,11.58,11.72,2408921.0,0.90031,28668033.0,30.975,2.674,445115.713886,324556.467513
2015,300137,5.472,16.19,15.35,16.89,15.24,15.35,5509476.0,1.85884,86603237.0,29.436,3.439,557576.061936,479859.400835
2016,300136,-0.834,29.72,30.0,30.17,27.68,29.97,17188618.0,2.30732,498651526.0,32.728,9.836,2920984.544136,2214020.801996
2017,300135,1.639,2.48,2.44,2.51,2.43,2.44,5227099.0,0.7368600000000001,12862846.0,60.488,1.8980000000000001,228556.8,175925.769544
2018,300134,0.0,0.0,0.0,0.0,0.0,10.02,0.0,0.0,0.0,-14.955,1.436,769033.002012,713840.838012
2019,300133,7.434,10.55,9.95,10.59,9.85,9.82,9638575.0,0.78973,99767948.0,29.306,2.688,1867037.953155,1287608.8898
2020,300132,3.579,10.13,9.73,10.23,9.69,9.78,6027968.0,1.9389,60007917.0,41.263,4.961,390936.96,314938.393568
2021,300131,0.0,0.0,0.0,0.0,0.0,5.67,0.0,0.0,0.0,43.615,3.155,606421.483542,355970.950776
2022,300130,-0.323,12.36,12.45,12.48,12.1,12.4,1403782.0,0.48410000000000003,17241411.0,42.621,1.626,590681.62518,358415.115612
2023,300129,1.695,3.6,3.54,3.63,3.48,3.54,2763500.0,0.5631,9867531.0,17.143,1.154,258895.17216,176674.53096
2024,300128,-10.069,3.93,3.93,3.93,3.93,4.37,3697200.0,0.34692,14529996.0,57.289,1.6179999999999999,429987.356916,418826.656026
2025,300127,1.449,13.3,12.99,13.32,12.63,13.11,1726221.0,0.76007,22463754.0,22.167,3.44,429784.6588,302061.8062
2026,300126,0.419,4.79,4.71,4.82,4.65,4.77,1105900.0,0.52492,5234100.0,479.0,1.426,146290.8152,100915.015391
2027,300125,-1.667,15.93,16.0,16.2,15.53,16.2,296431.0,0.17099,4691337.0,-7.112,2.41,281961.0,276165.282087
2028,300124,5.435,33.56,31.83,33.61,31.83,31.83,8717956.0,0.7101400000000001,286160023.0,51.631,9.772,5584936.76676,4119932.45504
2029,300123,1.594,11.47,11.34,11.54,10.97,11.29,2073905.0,0.7498400000000001,23529255.0,44.115,1.391,642084.752594,317238.083546
2030,300122,6.253,45.88,43.61,46.06,42.6,43.18,12648861.0,1.4552800000000001,559869814.0,169.926,22.961,7340800.0,3987747.4867
2031,300121,3.084,13.37,12.96,13.43,12.91,12.97,2800143.0,0.7849400000000001,36921929.0,18.569,3.255,501551.090922,476953.259062
2032,300120,1.258,6.44,5.8,6.5,5.8,6.36,3024180.0,1.42219,18382793.0,25.255,1.049,251113.178624,136941.39004
2033,300119,2.093,8.78,8.71,8.88,8.59,8.6,2431078.0,1.18738,21141709.0,33.86,1.784,355145.260514,179764.860606
2034,300118,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,13.846,1.301,976646.09628,747296.4042
2035,300117,6.267,3.9,3.69,4.04,3.66,3.67,6255774.0,0.8758100000000001,23868082.0,43.333,1.883,279536.4,278571.15
2036,300116,0.752,2.68,2.6,2.7,2.55,2.66,27205467.0,2.10264,71570810.0,-1.775,1.712,651916.583152,346757.40254
2037,300115,0.767,11.82,11.71,11.94,11.45,11.73,7247598.0,0.80032,84575432.0,18.762,2.404,1075454.829684,1070404.781964
2038,300114,3.975,8.37,8.0,8.41,7.91,8.05,2825516.0,0.47829000000000005,23289589.0,38.045,3.338,494466.537663,494458.488234
2039,300113,2.9,15.61,15.2,15.72,15.17,15.17,8159236.0,1.7108500000000002,126458110.0,21.095,3.356,1083782.38164,744459.098138
2040,300112,1.378,8.09,7.98,8.16,7.83,7.98,968300.0,0.5886100000000001,7791687.0,47.588,2.465,231193.65772,133086.49469
2041,300111,0.0,0.0,0.0,0.0,0.0,2.74,0.0,0.0,0.0,137.0,2.408,306825.2,306123.64903
2042,300110,4.206,4.46,4.27,4.48,4.22,4.28,14117560.0,1.19843,61298504.0,112.626,2.432,527266.989972,525388.662756
2043,300109,3.806,32.18,31.5,32.45,31.0,31.0,938305.0,1.09511,29714119.0,58.509,4.119,546198.415898,275722.204576
2044,300108,0.0,0.0,0.0,0.0,0.0,7.84,0.0,0.0,0.0,24.5,2.6310000000000002,522155.504416,348585.97648
2045,300107,4.031,13.42,12.7,13.57,12.7,12.9,23169530.0,7.01586,305125609.0,84.244,6.675,733709.676524,443188.73632
2046,300106,1.536,5.29,5.13,5.34,5.11,5.21,1846271.0,0.8779300000000001,9581229.0,-3.04,1.925,111794.79199,111248.063084
2047,300105,2.148,4.28,4.2,4.28,4.14,4.19,2281247.0,0.4445,9607238.0,137.621,1.141,219656.448,219656.448
2048,300104,4.644,3.38,3.2,3.42,3.19,3.23,70594319.0,2.2970800000000002,233983563.0,-0.971,44.299,1348430.784896,1038750.343384
2049,300103,-2.545,8.04,8.0,8.2,7.5,8.25,1763750.0,0.70203,13855427.0,39.277,1.899,255351.204,201993.95304
2050,300102,-0.816,6.08,6.06,6.22,5.82,6.13,15719625.0,2.30329,95090439.0,20.267,1.576,435573.213088,414952.058304
