,ds,y
259,2007-01-16,12.293633
260,2007-01-17,12.021426
261,2007-01-18,11.276973
262,2007-01-19,11.204806
263,2007-01-22,10.988305
264,2007-01-23,10.850301
265,2007-01-24,10.976911999999999
266,2007-01-25,10.919936
267,2007-01-26,10.809789
268,2007-01-29,10.880688000000001
269,2007-01-30,10.83131
270,2007-01-31,10.8541
271,2007-02-01,10.728761
272,2007-02-02,10.730025999999999
273,2007-02-05,10.627473
274,2007-02-06,10.654061
275,2007-02-07,10.907276
276,2007-02-08,10.911077
277,2007-02-09,10.542646000000001
278,2007-02-12,10.746485
279,2007-02-13,10.723695
280,2007-02-14,10.799662
281,2007-02-15,10.788263
282,2007-02-16,10.740153
283,2007-02-20,10.875625999999999
284,2007-02-21,11.29343
285,2007-02-22,11.33268
286,2007-02-23,11.276973
287,2007-02-26,11.206071000000001
288,2007-02-27,10.626207
289,2007-02-28,10.712297
290,2007-03-01,11.022491
291,2007-03-02,10.813587
292,2007-03-05,10.928798
293,2007-03-06,11.165556
294,2007-03-07,11.106052
295,2007-03-08,11.1415
296,2007-03-09,11.137703
297,2007-03-12,11.378259
298,2007-03-13,11.192143
299,2007-03-14,11.394715
300,2007-03-15,11.340276
301,2007-03-16,11.342808
302,2007-03-19,11.537785000000001
303,2007-03-20,11.582098
304,2007-03-21,11.884688
305,2007-03-22,11.896085000000001
306,2007-03-23,11.840376
307,2007-03-26,12.135372
308,2007-03-27,12.085997
309,2007-03-28,11.804925
310,2007-03-29,11.869498
311,2007-03-30,11.763144
312,2007-04-02,11.856836
313,2007-04-03,11.964453
314,2007-04-04,11.935333
315,2007-04-05,11.987242
316,2007-04-09,11.856836
317,2007-04-10,11.9328
318,2007-04-11,11.722633
319,2007-04-12,11.671989
320,2007-04-13,11.425105
321,2007-04-16,11.575768
322,2007-04-17,11.439028
323,2007-04-18,11.44536
324,2007-04-19,11.428901
325,2007-04-20,11.517527000000001
326,2007-04-23,11.839113000000001
327,2007-04-24,11.804925
328,2007-04-25,12.072069
329,2007-04-26,12.51393
330,2007-04-27,12.650667
331,2007-04-30,12.635475999999999
332,2007-05-01,12.593694000000001
333,2007-05-02,12.710175999999999
334,2007-05-03,12.711439
335,2007-05-04,12.763347999999999
336,2007-05-07,13.157101
337,2007-05-08,13.301435000000001
338,2007-05-09,13.531858999999999
339,2007-05-10,13.590098999999999
340,2007-05-11,13.767351000000001
341,2007-05-14,13.845848000000002
342,2007-05-15,13.612889000000001
343,2007-05-16,13.590098999999999
344,2007-05-17,13.855977
345,2007-05-18,13.92941
346,2007-05-21,14.177560999999999
347,2007-05-22,14.375070000000001
348,2007-05-23,14.29277
349,2007-05-24,14.014235000000001
350,2007-05-25,14.385197
351,2007-05-29,14.477620000000002
352,2007-05-30,15.037227
353,2007-05-31,15.343616
354,2007-06-01,14.990388000000001
355,2007-06-04,15.361345000000002
356,2007-06-05,15.531001999999999
357,2007-06-06,15.653807
358,2007-06-07,15.70825
359,2007-06-08,15.761422
360,2007-06-11,15.217014
361,2007-06-12,15.241064000000001
362,2007-06-13,14.876437
363,2007-06-14,15.034697
364,2007-06-15,15.256260999999999
365,2007-06-18,15.837387
366,2007-06-19,15.656344
367,2007-06-20,15.389203
368,2007-06-21,15.686729000000001
369,2007-06-22,15.572780999999999
370,2007-06-25,15.489214000000002
371,2007-06-26,15.148642
372,2007-06-27,15.432244
373,2007-06-28,15.263856
374,2007-06-29,15.451239000000001
375,2007-07-02,15.352483
376,2007-07-03,16.100735
377,2007-07-05,16.807203
378,2007-07-06,16.750232999999998
379,2007-07-09,16.500823999999998
380,2007-07-10,16.756563
381,2007-07-11,16.761631
382,2007-07-12,16.974331
383,2007-07-13,17.437716
384,2007-07-16,17.484560000000002
385,2007-07-17,17.587111
386,2007-07-18,17.487091
387,2007-07-19,17.725115
388,2007-07-20,18.199894
389,2007-07-23,18.193567
390,2007-07-24,17.07815
391,2007-07-25,17.378211999999998
392,2007-07-26,18.484764000000002
393,2007-07-27,18.212555
394,2007-07-30,17.906162
395,2007-07-31,16.681867999999998
396,2007-08-01,17.092079000000002
397,2007-08-02,17.280720000000002
398,2007-08-03,16.693260000000002
399,2007-08-06,17.123732
400,2007-08-07,17.095873
401,2007-08-08,16.96673
402,2007-08-09,16.001982
