,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
3567,600321,*ST正源,-4.762,1.6,1.63,1.65,1.6,1.68,5455100.0,0.36113,8801770.0,-533.333,0.908,241688.0,241688.0
3569,600301,ST南化,-5.027,5.29,5.56,5.59,5.29,5.57,734700.0,0.31244000000000005,3951710.0,-38.306,5.223,124393.36606,124393.36606
3570,600289,*ST信通,-4.851,2.55,2.62,2.64,2.55,2.68,3735869.0,0.6601400000000001,9602184.0,-0.649,2.716,160918.277595,144310.28442
3571,600275,ST昌鱼,-5.09,3.17,3.29,3.29,3.17,3.34,1549501.0,0.30452,4951160.0,391.358,11.811,161301.404446,161301.404446
3572,600265,ST景谷,-5.0,21.47,22.3,22.38,21.47,22.6,119500.0,0.09206,2591586.0,-89.458,124.536,278680.6,278680.6
3573,600247,*ST成城,-4.973,5.35,5.55,5.55,5.35,5.63,1030800.0,0.30638000000000004,5529538.0,-25.38,58.089,179996.256,179996.256
3575,600238,*ST椰岛,-5.063,6.0,6.0,6.0,6.0,6.32,90200.0,0.020270000000000003,541200.0,-25.0,4.0,268920.0,267000.948
3576,600234,ST山水,-4.969,7.65,7.8,7.89,7.65,8.05,717100.0,0.35422000000000003,5494783.0,-58.846,21.411,154871.0982,154871.0982
3577,600228,ST昌九,-4.953,8.06,8.43,8.57,8.06,8.48,1586001.0,0.65722,13057568.0,74.423,36.703,194503.92,194503.92
3579,600209,*ST罗顿,-0.926,5.35,5.46,5.66,5.2,5.4,11846103.0,2.69836,65146727.0,-51.492,3.849,234870.975415,234870.975415
3580,600202,*ST哈空,-5.105,3.16,3.3,3.3,3.16,3.33,4499208.0,1.17368,14345465.0,-13.841,2.088,121135.652352,121135.652352
3581,600198,*ST大唐,-4.931,6.17,6.31,6.44,6.17,6.49,8730605.0,0.9974100000000001,54447126.0,-2.055,-10.166,544260.927224,540075.962453
3582,600193,*ST创兴,-5.128,2.59,2.7,2.82,2.59,2.73,3119000.0,0.7332400000000001,8302045.0,-14.389,6.181,110171.607,110171.607
3584,600150,*ST船舶,-4.972,10.13,10.34,10.43,10.13,10.66,8603694.0,0.62431,88035102.0,-6.066,0.9510000000000001,1396033.126774,1396033.126774
3585,600149,ST坊展,-4.942,5.77,5.96,5.96,5.77,6.07,3250000.0,0.8549,18794212.0,107.649,10.891,219352.32,219352.32
3586,600145,*ST新亿,0.0,1.87,0.0,0.0,0.0,1.87,0.0,0.0,0.0,271.014,4.464,278835.77106,278835.77106
3587,600091,ST明科,-5.108,3.53,3.66,3.69,3.53,3.72,2350300.0,0.6984,8368371.0,353.0,1.733,154406.620972,118793.678
3589,600074,*ST保千,-5.147,1.29,1.32,1.33,1.29,1.36,16990506.0,1.65591,22061665.0,-0.40700000000000003,-0.905,314487.300321,132360.854028
