,code,mbrg2018_1,nprg2018_1,nav2018_1,targ2018_1,epsg2018_1,seg2018_1,mbrg2017_2,nprg2017_2,nav2017_2,targ2017_2,epsg2017_2,seg2017_2,mbrg2017_3,nprg2017_3,nav2017_3,targ2017_3,epsg2017_3,seg2017_3,mbrg2017_4,nprg2017_4,nav2017_4,targ2017_4,epsg2017_4,seg2017_4,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
1555,600540,72.0955,12.4767,4.6649,-7.5028,-27.2727,1.6402,287.8658,,-55.9362,-17.779,-180.1282,-42.6268,134.4529,,-55.5604,-26.478,-236.0656,-42.5321,,,,,,,0.767,3.94,3.76,3.98,3.76,3.91,9252635.0,1.96479,35676023.0,166.949,2.956,185543.785322,185543.785322
1559,603181,6.8215,12.4755,,,-14.2857,,20.8715,35.3115,,,35.4839,,13.8897,15.7289,,,,,12.107000000000001,63.9405,94.2256,19.9814,48.3333,94.2256,1.492,21.77,20.56,22.02,20.3,21.45,3716726.0,7.43345,78000093.0,24.461,3.308,435400.0,108850.0
1560,601318,,12.4747,19.070999999999998,16.4974,11.6279,21.9747,,6.0141,15.155,14.539000000000001,6.5789,16.9892,,16.0554,16.2971,16.4626,17.3502,18.1618,,38.1522,20.8559,16.428,42.5714,23.4456,0.161,62.19,61.9,62.54,60.78,62.09,63088681.0,0.5823900000000001,3892589187.0,12.463,2.265,113684821.32879,67368340.513062
1561,002542,39.9566,12.4013,11.4696,38.148,0.0,11.4448,0.7958,12.4611,21.5067,30.7144,0.0,24.8955,6.1087,-4.0831,20.4853,32.0416,-8.4827,23.7034,21.0516,-3.5907,6.4269,20.9451,-7.1429,6.371,-0.164,6.09,6.09,6.15,5.92,6.1,5259600.0,0.76844,31687113.0,46.846,3.144,1102899.0,416832.135825
1562,603818,15.0219,12.3323,14.6024,13.1648,20.0,15.0289,29.7308,45.5176,17.3869,20.0032,46.6667,14.2398,27.2258,30.6241,17.1769,22.3695,28.5714,14.1747,26.0494,32.7108,17.9327,18.718,34.2105,15.0487,2.734,12.4,12.31,12.47,12.06,12.07,3328800.0,0.6876,40889801.0,24.314,3.709,609435.2,600308.8
1563,300406,16.7683,12.3183,8.5116,12.9718,11.4976,8.5116,-2.6413,-10.0757,11.0282,11.9911,-9.9835,10.0703,-2.2448,-2.8594,10.9757,11.860999999999999,-5.2632,9.997,4.0267,0.5542,10.2306,20.9068,0.0,10.2306,2.232,14.2,13.93,14.26,13.8,13.89,1363500.0,0.41412000000000004,19215798.0,25.818,4.557,712609.1577,467542.4053
1564,600589,14.4155,12.2976,3.0488,-3.1741,12.1951,3.2729,13.7492,30.6487,2.7563,1.6131,30.9859,2.7688,10.0469,23.3438,2.8337,13.1921,24.1071,2.8482,14.3398,32.9303,3.1007,16.1252,35.7143,3.3277,1.598,4.45,4.3,4.46,4.3,4.38,2185541.0,0.33035000000000003,9583869.0,23.421,1.011,313861.094795,294401.37073
1565,603198,11.8691,12.2934,5.4108,4.8481,13.8889,5.4587,3.3983,-0.3184,-5.2237,-6.5113,0.0,-5.3626,2.1147,-9.748,4.615,3.5785,-10.1695,4.4811,3.293,-2.3773,4.7976,4.2385,-2.3529,4.7461,4.631,18.98,18.03,19.33,18.03,18.14,10537464.0,1.31718,197492940.0,22.867,3.417,1518400.0,1518400.0
1566,000538,7.2559,12.2622,14.4451,13.2217,10.0,14.5461,14.4264,12.2624,21.7692,21.2728,12.782,21.7977,10.5608,10.158,15.3422,16.8392,10.1322,15.3584,8.4958,6.88,14.5131,12.6731,7.8571,14.7011,2.905,106.27,103.09,106.66,103.04,103.27,2194688.0,0.21075000000000002,229834267.0,35.189,5.873,11066954.803186,11066877.35361
1567,002064,2.3111,12.1952,12.7274,3.2397,16.6667,12.7274,50.7465,,9.0729,7.8701,-144.0,9.0729,54.9941,,11.3908,5.9719,-177.2727,11.3908,45.8984,,12.7497,3.2479,-227.7778,12.7497,2.638,4.28,4.17,4.28,4.1,4.17,5335689.0,0.34677,22371776.0,18.609,2.045,717670.4,658559.582792
1569,002376,49.3081,12.1817,21.0562,17.5526,20.0,23.2104,16.8531,43.2182,9.8514,2.9017,50.0,7.2485,19.1587,26.5286,9.5896,3.4296,30.4348,7.1857,13.7863,19.3638,8.0961,3.9189999999999996,21.6216,7.1782,4.1,14.98,14.4,15.15,14.22,14.39,8269720.0,1.44114,121142850.0,33.289,3.265,997237.178196,859600.199682
1570,300221,41.2257,12.1797,11.0545,8.3837,0.0,10.9998,84.6908,2.4322,146.372,125.0755,-13.6546,149.6268,75.6232,4.1331,138.1468,117.9066,-13.9908,140.626,77.9487,43.2127,144.2193,113.4535,18.4211,146.7312,-3.667,9.72,10.09,10.19,9.13,10.09,5662794.0,1.3428200000000001,54035996.0,21.6,2.156,491529.19284,409902.753744
1571,002368,10.549000000000001,12.1258,15.6451,17.6181,0.0,8.606,7.7483,21.526,10.7578,27.0573,25.0,11.1487,21.1789,2.6104,10.5837,32.0621,0.0,10.9895,2.6241,-2.8042,15.6621,13.3716,-4.0944,8.6166,2.715,25.35,24.77,25.53,24.21,24.68,4716853.0,1.17785,117056935.0,36.075,3.991,1052606.13861,1015169.88222
