,x,y,yd1,yvals
2053,887299200,0.617214,-2.4308837393659727e-08,1.5238513886281453
2054,887644800,0.62117,-2.430388997819912e-08,1.5154510950692952
2055,887731200,0.650844,-2.4302575711093314e-08,1.5133512955286506
2056,887817600,0.646888,-2.430123047869171e-08,1.5112516108783893
2057,887904000,0.6330399999999999,-2.4299854280993465e-08,1.5091520437937902
2058,888163200,0.672605,-2.4295539896122044e-08,1.5028540746886847
2059,888249600,0.674583,-2.429403983723892e-08,1.5007550046213964
2060,888336000,0.7062350000000001,-2.4292508813059997e-08,1.4986560654966752
2061,888422400,0.743822,-2.4290946823584433e-08,1.4965572599901407
2062,888508800,0.7477779999999999,-2.4289353868813073e-08,1.4944585907771852
2063,888768000,0.720083,-2.4284389212720826e-08,1.4881634276543423
2064,888854400,0.731952,-2.4282672396764587e-08,1.4860653303697973
2065,888940800,0.773496,-2.4280924615511704e-08,1.48396738275585
2066,889027200,0.761626,-2.4279145868963026e-08,1.4818695874878927
2067,889113600,0.773496,-2.4277336157117704e-08,1.4797719472413746
2068,889372800,0.720083,-2.4271721229805267e-08,1.4734799833846068
2069,889459200,0.761626,-2.426978765677528e-08,1.4713829899776556
2070,889545600,0.826908,-2.4267823118448858e-08,1.4692861649691622
2071,889632000,0.8546040000000001,-2.4265827614826642e-08,1.467189511034519
2072,889718400,0.85856,-2.4263801145907994e-08,1.465093030849232
2073,889977600,0.8447129999999999,-2.4257535947375155e-08,1.458804659542352
2074,890064000,0.833831,-2.4255385617271417e-08,1.4567089011077314
2075,890150400,0.852626,-2.4253204321872094e-08,1.454613329799372
2076,890236800,0.846691,-2.4250992061175916e-08,1.452517948292666
2077,890323200,0.8348209999999999,-2.4248748835184154e-08,1.4504227592631196
2078,890582400,0.826908,-2.424183336543028e-08,1.4441383737901674
2079,890668800,0.8862559999999999,-2.4239466278253638e-08,1.4420439814225574
2080,890755200,0.859548,-2.4237068225780353e-08,1.4399497949091824
2081,890841600,0.840756,-2.423463920801106e-08,1.4378558169250937
2082,890928000,0.852626,-2.4232179224945338e-08,1.4357620501457973
2083,891187200,0.868452,-2.4224613483971484e-08,1.4294820437912108
2084,891273600,0.8704299999999999,-2.4222029639720882e-08,1.427389148585064
2085,891360000,0.8704299999999999,-2.421941483017427e-08,1.425296477961183
2086,891446400,0.8644950000000001,-2.421676905533123e-08,1.4232040345943915
2087,891532800,0.856582,-2.4214092315192392e-08,1.4211118211601956
2088,891792000,0.830865,-2.4205876302997713e-08,1.414836587207617
2089,891878400,0.807126,-2.4203075701673996e-08,1.4127453202580114
